ENSG00000115008
ENSG00000125538
ENSG00000136244
ENSG00000168811
ENSG00000113302
ENSG00000110944
ENSG00000197272
ENSG00000232810
ENSG00000108342
ENSG00000164400
ENSG00000144802
ENSG00000108702
ENSG00000156234
ENSG00000172156
ENSG00000081041
ENSG00000118503
ENSG00000184557
ENSG00000197329
ENSG00000007171
ENSG00000019169
