ENSG00000163515
ENSG00000132514
ENSG00000102970
ENSG00000106178
ENSG00000137265
ENSG00000260314
ENSG00000118520
ENSG00000169385
ENSG00000160113
ENSG00000108700
ENSG00000172243
ENSG00000197646
ENSG00000120833
ENSG00000039068
ENSG00000112033
ENSG00000132170
ENSG00000102962
